Series,Name,,Codes,,,,,,,
M.M. Vending,Inside Out,,"TL001, A008",,,,,,,
M.M. Vending,Lilo and Stitch,,A007,,,,,,,
M.M. Vending,Mickey & Friends,,A003,,,,,,,
M.M. Vending,Minnie & Friends,,"A002, A007",,,,,,,
M.M. Vending,Moana,,A005,,,,,,,
M.M. Vending,Nightmare Before Christmas,,A001,,,,,,,
M.M. Vending,Toy Story,,A004,,,,,,,
M.M. Vending,Winnie the Pooh,,A006,,,,,,,
Popcorn,Alien,,A002,,,,,,,
Popcorn,Cheshire Cat,,A003,,,,,,,
Popcorn,Minnie Mouse,,A001,,,,,,,
Popcorn,Stitch,,A004,,,,,,,
,,,,,,,,,,
Code,Series,Type,Character 1,Character 2,Character3,Character4,,,,
A263,1,2Pack,Frosted Sugar,Garlic Mini Baguette,,,Nemo,Tramp,,
A264,1,2Pack,Banana Berry Candy,Iced Cookie Latte,,,Flounder,Mickey Mouse,,
A265,1,2Pack,Mixed Fruit Tart,Peanut Butter Swirl Cake Pop,,,Minnie Mouse,Tigger,,
A266,1,2Pack,French Hot Chocolate,Garlic Mini Baguette,,,Remy,Tramp,,
A266,1,2Pack,Garlic Mini Baguette,Milk Chocolate Ganache Truffle,,,Tramp,Dale,,
A267,1,2Pack,Banana Berry Candy,French Hot Chocolate,,,Flounder,Remy,,
A268,1,2Pack,Dark Chocolate Ganache Truffle,Milk Chocolate Ganache Truffle,,,Chip,Dale,,
A269,1,2Pack,Banana Berry Candy,Roasted Butternut Squash Ravioli,,,Flounder,Lady,,
A270,1,2Pack,Salmon Roll,Salted Caramel Chocolate Tart,,,Daisy Duck,Mickey Mouse,,
A271,1,2Pack,Cinnamon Cherry Macaron,Peanut Butter Swirl Cake Pop,,,Sebastian,Tigger,,
A271,1,2Pack,French Hot Chocolate,Peanut Butter Swirl Cake Pop,,,Remy,Tigger,,
A272,1,2Pack,Dragonfruit Petit Cake,Garlic Mini Baguette,,,Pua,Tramp,,
A272,1,2Pack,Cheesy Grilled Squash,Dragonfruit Petit Cake,,,Timon,Pua,,
A273,1,2Pack,French Hot Chocolate,Orange Ice Pop,,,Remy,Marlin,,
B001,1,2Pack,Chocolate Dipped Mint Marshmallow,Strawberry Sundae Waffle Bowl,,,Eve,Minnie Mouse,,
B003,1,2Pack,Banana Berry Candy,Lettuce Wrap,,,Flounder,Bambi,,
B014,1,2Pack,Chocolate Dipped Sponge Cake,Lettuce Wrap,,,Wall-E,Bambi,,
B019,1,2Pack,Lettuce Wrap,Salmon Roll,,,Bambi,Daisy Duck,,
B021,1,2Pack,Garlic Mini Baguette,Strawberry Sundae Waffle Bowl,,,Tramp,Minnie Mouse,,
B028,1,2Pack,Cheesy Grilled Squash,Salmon Roll,,,Timon,Daisy Duck,,
B033,1,2Pack,Mint Dipped Ice Cream Sandwich,Orange Ice Pop,,,Mickey Mouse,Marlin,,
B047,1,2Pack,Lettuce Wrap,Mint Dipped Ice Cream Sandwich,,,Bambi,Mickey Mouse,,
B058,1,2Pack,Cheesy Grilled Squash,Pumpkin Sage,,,Timon,Pumbaa,,
B058,1,2Pack,Pumpkin Sage,,,,Pumbaa,,,
B066,1,2Pack,Mint Dipped Ice Cream Sandwich,Sea Salt Caramel Cookie,,,Mickey Mouse,Mochi,,
B071,1,2Pack,Garlic Mini Baguette,Mochi Sundae,,,Tramp,Pearl,,
B081,1,2Pack,Chocolate Dipped Sponge Cake,Sea Salt Caramel Cookie,,,Wall-E,Mochi,,
B092,1,2Pack,Banana Berry Candy,Onigiri Nori,,,Flounder,Donald Duck,,
B102,1,2Pack,Banana Berry Candy,Blueberry Pie,,,Flounder,Sadness,,
B103,1,2Pack,Onigiri Nori,Strawberry Sundae Waffle Bowl,,,Donald Duck,Minnie Mouse,,
B115,1,2Pack,Mint Dipped Ice Cream Sandwich,Onigiri Nori,,,Mickey Mouse,Donald Duck,,
B118,1,2Pack,Chocolate Dipped Mint Marshmallow,Strawberry Sundae Waffle Bowl,,,Eve,Minnie Mouse,,
B123,1,2Pack,Chocolate Dipped Sponge Cake,Salmon Roll,,,Wall-E,Daisy Duck,,
B124,1,2Pack,Lettuce Wrap,Onigiri Nori,,,Bambi,Donald Duck,,
B126,1,2Pack,Banana Berry Candy,Salmon Roll,,,Flounder,Daisy Duck,,
B128,1,2Pack,Lavender Ice Cream Sundae,Onigiri Nori,,,Ursula,Donald Duck,,
B130,1,2Pack,Cheesy Grilled Squash,Mint Dipped Ice Cream Sandwich,,,Timon,Mickey Mouse,,
B133,1,2Pack,Cheesy Grilled Squash,Lettuce Wrap,,,Timon,Bambi,,
B136,1,2Pack,Chocolate Dipped Sponge Cake,Mint Dipped Ice Cream Sandwich,,,Wall-E,Mickey Mouse,,
B137,1,2Pack,Mint Dipped Ice Cream Sandwich,Strawberry Sundae Waffle Bowl,,,Mickey Mouse,Minnie Mouse,,
B139,1,2Pack,Cheesy Grilled Squash,Onigiri Nori,,,Timon,Donald Duck,,
B145,1,2Pack,Banana Berry Candy,Chocolate Dipped Sponge Cake,,,Flounder,Wall-E,,
B150,1,2Pack,Garlic Mini Baguette,Oat Milk,,,Tramp,Baymax,,
B154,1,2Pack,Cheesy Grilled Squash,Garlic Mini Baguette,,,Timon,Tramp,,
B157,1,2Pack,Garlic Mini Baguette,Lettuce Wrap,,,Tramp,Bambi,,
B162,1,2Pack,Cheesy Grilled Squash,Strawberry Sundae Waffle Bowl,,,Timon,Minnie Mouse,,
B165,1,2Pack,Banana Berry Candy,Garlic Mini Baguette,,,Flounder,Tramp,,
B167,1,2Pack,Garlic Mini Baguette,Mint Dipped Ice Cream Sandwich,,,Tramp,Mickey Mouse,,
B169,1,2Pack,Salmon Roll,Strawberry Sundae Waffle Bowl,,,Daisy Duck,Minnie Mouse,,
B173,1,2Pack,Chocolate Dipped Sponge Cake,Strawberry Sundae Waffle Bowl,,,Wall-E,Minnie Mouse,,
B181,1,2Pack,Cheesy Grilled Squash,Chocolate Dipped Sponge Cake,,,Timon,Wall-E,,
B182,1,2Pack,Lemon Berry Ice Pop,Salmon Roll,,,Dory,Daisy Duck,,
B184,1,2Pack,Blueberry Pie,Salmon Roll,,,Sadness,Daisy Duck,,
B185,1,2Pack,Onigiri Nori,Salmon Roll,,,Donald Duck,Daisy Duck,,
B196,1,2Pack,Banana Berry Candy,Mint Dipped Ice Cream Sandwich,,,Flounder,Mickey Mouse,,
B302,1,2Pack,Cheesy Grilled Squash,Dragonfruit Petit Cake,,,Timon,Pua,,
B303,1,2Pack,Cinnamon Cherry Macaron,Peanut Butter Swirl Cake Pop,,,Sebastian,Tigger,,
B304,1,2Pack,Salmon Roll,Salted Caramel Chocolate Tart,,,Daisy Duck,Mickey Mouse,,
B305,1,2Pack,Banana Berry Candy,Peanut Butter Swirl Cake Pop,,,Flounder,Tigger,,
B306,1,2Pack,Dark Chocolate Ganache Truffle,Milk Chocolate Ganache Truffle,,,Chip,Dale,,
B307,1,2Pack,Banana Berry Candy,French Hot Chocolate,,,Flounder,Remy,,
B308,1,2Pack,Garlic Mini Baguette,Milk Chocolate Ganache Truffle,,,Tramp,Dale,,
B310,1,2Pack,Banana Berry Candy,Iced Cookie Latte,,,Flounder,Mickey Mouse,,
B311,1,2Pack,Frosted Sugar,Garlic Mini Baguette,,,Nemo,Tramp,,
B312,1,2Pack,Dragonfruit Petit Cake,,,,Pua,,,
B312,1,2Pack,Chocolate Dipped Sponge Cake,Dragonfruit Petit Cake,,,Wall-E,Pua,,
B313,1,2Pack,Lettuce Wrap,Tropical Fruit Slushy,,,Bambi,Hei Hei,,
B314,1,2Pack,Onigiri Nori,Salted Caramel Chocolate Tart,,,Donald Duck,Mickey Mouse,,
B315,1,2Pack,Chocolate Dipped Mint Marshmallow,Milk Chocolate Ganache Truffle,,,Eve,Dale,,
B316,1,2Pack,Dragonfruit Petit Cake,Strawberry Sundae Waffle Bowl,,,Pua,Minnie Mouse,,
B317,1,2Pack,Dark Chocolate Ganache Truffle,French Hot Chocolate,,,Chip,Remy,,
B319,1,2Pack,Frosted Sugar,Strawberry Croissant,,,Nemo,Emile,,
B320,1,2Pack,Dragonfruit Petit Cake,Lemon Berry Ice Pop,,,Pua,Dory,,
B321,1,2Pack,Dark Chocolate Ganache Truffle,Dragonfruit Petit Cake,,,Chip,Pua,,
B322,1,2Pack,Chocolate Dipped Sponge Cake,Milk Chocolate Ganache Truffle,,,Wall-E,Dale,,
B323,1,2Pack,French Hot Chocolate,Oat Milk,,,Remy,Baymax,,
B324,1,2Pack,Peanut Butter Chocolate Swirl Cup,Salted Caramel Chocolate Tart,,,Pluto,Mickey Mouse,,
B324,1,2Pack,Peanut Butter Swirl Cake Pop,Salted Caramel Chocolate Tart,,,Tigger,Mickey Mouse,,
B325,1,2Pack,Frosted Sugar,Lettuce Wrap,,,Nemo,Bambi,,
B326,1,2Pack,Dragonfruit Petit Cake,Peanut Butter Swirl Cake Pop,,,Pua,Tigger,,
B327,1,2Pack,Salmon Roll,Spiced Carrot Cake,,,Daisy Duck,Thumper,,
B328,1,2Pack,Milk Chocolate Ganache Truffle,Onigiri Nori,,,Dale,Donald Duck,,
B329,1,2Pack,Peanut Butter Swirl Cake Pop,Strawberry Sundae Waffle Bowl,,,Tigger,Minnie Mouse,,
B330,1,2Pack,Mint Dipped Ice Cream Sandwich,Pumpkin Sage,,,Mickey Mouse,Pumbaa,,
B331,1,2Pack,Everything Bagel Sandwich,Onigiri Nori,,,Minnie Mouse,Donald Duck,,
B332,1,2Pack,Dark Chocolate Ganache Truffle,Garlic Mini Baguette,,,Chip,Tramp,,
B333,1,2Pack,Banana Berry Candy,Salted Caramel Chocolate Tart,,,Flounder,Mickey Mouse,,
B334,1,2Pack,French Hot Chocolate,Cinnamon Cherry Macaron,,,Remy,Sebastian,,
B335,1,2Pack,Dragonfruit Petit Cake,Salmon Roll,,,Pua,Daisy Duck,,
B336,1,2Pack,Blue Raspberry Frozen Yogurt,Mint Dipped Ice Cream Sandwich,,,Flotsam & Jetsam,Mickey Mouse,,
B337,1,2Pack,Chocolate Dipped Sponge Cake,Dark Chocolate Ganache Truffle,,,Wall-E,Chip,,
B338,1,2Pack,Cheesy Grilled Squash,Salted Caramel Chocolate Tart,,,Timon,Mickey Mouse,,
B340,1,2Pack,Roasted Butternut Squash Ravioli,French Hot Chocolate,,,Lady,Remy,,
B341,1,2Pack,French Hot Chocolate,Mochi Sundae,,,Remy,Pearl,,
B342,1,2Pack,Garlic Mini Baguette,Salted Caramel Chocolate Tart,,,Tramp,Mickey Mouse,,
B343,1,2Pack,Chocolate Dipped Sponge Cake,Peanut Butter Chocolate Swirl Cup,,,Wall-E,Pluto,,
B343,1,2Pack,Chocolate Dipped Sponge Cake,Peanut Butter Swirl Cake Pop,,,Wall-E,Tigger,,
B344,1,2Pack,Frosted Sugar,Salted Caramel Chocolate Tart,,,Nemo,Mickey Mouse,,
B345,1,2Pack,Lavender Ice Cream Sundae,Peanut Butter Swirl Cake Pop,,,Ursula,Tigger,,
B346,1,2Pack,Dark Chocolate Ganache Truffle,Lettuce Wrap,,,Chip,Bambi,,
B347,1,2Pack,French Hot Chocolate,Salmon Roll,,,Remy,Daisy Duck,,
B348,1,2Pack,Dark Chocolate Ganache Truffle,Peanut Butter Swirl Cake Pop,,,Chip,Tigger,,
B349,1,2Pack,Mixed Fruit Tart,Onigiri Nori,,,Minnie Mouse,Donald Duck,,
B350,1,2Pack,Cheesy Grilled Squash,Frosted Sugar,,,Timon,Nemo,,
B351,1,2Pack,Dragonfruit Petit Cake,Milk Chocolate Ganache Truffle,,,Pua,Dale,,
B352,1,2Pack,Dark Chocolate Ganache Truffle,Strawberry Sundae Waffle Bowl,,,Chip,Minnie Mouse,,
B353,1,2Pack,French Hot Chocolate,Milk Chocolate Ganache Truffle,,,Remy,Dale,,
B354,1,2Pack,Mint Dipped Ice Cream Sandwich,Salted Caramel Chocolate Tart,,,Mickey Mouse,Mickey Mouse,,
B355,1,2Pack,Blueberry Pie,Peanut Butter Swirl Cake Pop,,,Sadness,Tigger,,
B356,1,2Pack,Garlic Mini Baguette,Honey Cake,,,Tramp,Winnie the Pooh,,
B357,1,2Pack,Frosted Sugar,Salmon Roll,,,Nemo,Daisy Duck,,
B358,1,2Pack,Dragonfruit Petit Cake,French Hot Chocolate,,,Pua,Remy,,
B359,1,2Pack,Chocolate Dipped Sponge Cake,Salted Caramel Chocolate Tart,,,Wall-E,Mickey Mouse,,
B360,1,2Pack,Dark Chocolate Ganache Truffle,Onigiri Nori,,,Chip,Donald Duck,,
B361,1,2Pack,Peanut Butter Swirl Cake Pop,Tropical Fruit Slushy,,,Tigger,Hei Hei,,
B362,1,2Pack,Frosted Sugar,Milk Chocolate Ganache Truffle,,,Nemo,Dale,,
B363,1,2Pack,Banana Berry Candy,Dragonfruit Petit Cake,,,Flounder,Pua,,
B364,1,2Pack,Cheesy Grilled Squash,French Hot Chocolate,,,Timon,Remy,,
B365,1,2Pack,Dark Chocolate Ganache Truffle,Salted Caramel Chocolate Tart,,,Chip,Mickey Mouse,,
B366,1,2Pack,Milk Chocolate Ganache Truffle,Peanut Butter Swirl Cake Pop,,,Dale,Tigger,,
B367,1,2Pack,Sea Salt Caramel Cookie,Strawberry Sundae Waffle Bowl,,,Mochi,Minnie Mouse,,
B368,1,2Pack,French Hot Chocolate,Frosted Sugar,,,Remy,Nemo,,
B369,1,2Pack,Dragonfruit Petit Cake,Salted Caramel Chocolate Tart,,,Pua,Mickey Mouse,,
B370,1,2Pack,Lettuce Wrap,Peanut Butter Swirl Cake Pop,,,Bambi,Tigger,,
B371,1,2Pack,Dark Chocolate Ganache Truffle,Frosted Sugar,,,Chip,Nemo,,
